"sequence","start","end","duration","input_i_lufs","input_tp_dbtp","input_lra_lu","input_thresh_lufs","start_pre_peak_db","start_pre_rms_db","start_post_peak_db","start_post_rms_db","end_pre_peak_db","end_pre_rms_db","end_post_peak_db","end_post_rms_db","vad_boundary_verdict","highlight_role"
"CAL_A_첫진입_연속","322.421","343.438","21.017","-23.19","-5.06","19.90","-36.50","-33.381922","-55.603480","-16.382697","-29.374169","-17.627670","-31.717956","-32.488586","-52.251449","safe_silence_edges","dynamic_entry_transition"
"CAL_B_규칙과허세_연속","2333.217","2351.207","17.990","-23.68","-3.37","15.00","-35.07","-29.407822","-45.764692","-22.121400","-34.722185","-45.504334","-58.704571","-14.518112","-29.787101","safe_after_start_repair","primary_comedic_threat_peak"
"CAL_C_적응과공포잔존_연속","4342.274","4354.669","12.395","-28.57","-9.49","2.30","-39.36","-29.651849","-52.899861","-10.451144","-27.010555","-32.941681","-44.754281","-35.530600","-46.155651","safe_silence_edges","quiet_reflective_payoff"
