"asset_id","source_id","source_path","source_size","source_mtime_ns","source_fps","source_time_seconds","source_end_seconds","source_frame","width","kind","precision","candidate_ids","bit_ids","tags","path","sha256","status","notes"
"review_C09_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2080.000","2264.000","","","audio_clip","source_range","C09","","추격·콜드오픈","outputs/review_2026-07-11/media/C09.mp3","caeaa3e78dce81052f1e35d7f2068988a4d88a10dc0cea516839cef85b7b9249","current","원본 시간 기준 검토 오디오"
"review_C10_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2290.000","2360.000","","1600","contact_sheet","source_range","C10","","추격 후 반응","outputs/review_2026-07-11/media/C10.png","9a32091aa680fda1b84bbe5e26c33c160da9974e19a8199219134650fa46ffd8","current","원본 시간 기준 검토 카드"
"review_C10_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2290.000","2360.000","","","audio_clip","source_range","C10","","추격 후 반응","outputs/review_2026-07-11/media/C10.mp3","518bbbbdc0f48061e5ae50c3ac48d941b7243999dee837cbab4f9ea6386578aa","current","원본 시간 기준 검토 오디오"
"review_C11_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2580.000","2620.000","","1600","contact_sheet","source_range","C11","","중반 반응","outputs/review_2026-07-11/media/C11.png","fe6b0552ca5010d8b7fab3f4b565e0f0df2ae585f9a0c6fa121bda3775ddbfb2","current","원본 시간 기준 검토 카드"
"review_C11_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2580.000","2620.000","","","audio_clip","source_range","C11","","중반 반응","outputs/review_2026-07-11/media/C11.mp3","a96db5d94b33781f9d14ad8576530bf8674fc89362e7c664c0eb8c4f0f8b6ac0","current","원본 시간 기준 검토 오디오"
"review_C12_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2835.000","2935.000","","1600","contact_sheet","source_range","C12","","공포 상승","outputs/review_2026-07-11/media/C12.png","45b68132c27f4bd916de7b39da5bd5b5ec9a76491634b76d8bbf76f91dd63e69","current","원본 시간 기준 검토 카드"
"review_C12_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2835.000","2935.000","","","audio_clip","source_range","C12","","공포 상승","outputs/review_2026-07-11/media/C12.mp3","42cfda5af8d7e95eb566ea131a8bdddf3b35be9f14096197e894a6c191ae706a","current","원본 시간 기준 검토 오디오"
"review_C13_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3015.000","3070.000","","1600","contact_sheet","source_range","C13","","사망 후보","outputs/review_2026-07-11/media/C13.png","07f6217ade51703ce00c1e6c7ce6a5685cbf120eadb81d169caace38032414c2","current","원본 시간 기준 검토 카드"
"review_C13_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3015.000","3070.000","","","audio_clip","source_range","C13","","사망 후보","outputs/review_2026-07-11/media/C13.mp3","1dfe5fc89f4e1521f1bba2bddd4cef8b454339a9d95b0cf49e8bbe229107fea9","current","원본 시간 기준 검토 오디오"
"review_C14_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3105.000","3175.000","","1600","contact_sheet","source_range","C14","","재도전 반응","outputs/review_2026-07-11/media/C14.png","c27b1bf7c983b7327de59da86fcc25a03f8b9830b36e0b26e8287173a6b9a794","current","원본 시간 기준 검토 카드"
"review_C14_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3105.000","3175.000","","","audio_clip","source_range","C14","","재도전 반응","outputs/review_2026-07-11/media/C14.mp3","f1e3d6d61a2e2a4e903d6788b359d43578db4cfc331cd53f569b6b31c4439f29","current","원본 시간 기준 검토 오디오"
"review_C15_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3500.000","3530.000","","1600","contact_sheet","source_range","C15","","후반 단서","outputs/review_2026-07-11/media/C15.png","9ec257654e2bd12d81dfe7333b3e5043c04751c8bc02e27d1121bfa04e9f6f06","current","원본 시간 기준 검토 카드"
"review_C15_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3500.000","3530.000","","","audio_clip","source_range","C15","","후반 단서","outputs/review_2026-07-11/media/C15.mp3","3a9295cdcad5ada211ecd74ca9982384838b8b33c5cd86096531363513591931","current","원본 시간 기준 검토 오디오"
